Ref	Original	Compressed	Target	Fragment	Concatenation
CA 2006 28(1)	Provisions that immediately before the commencement of this Part were contained in a company's memorandum but are not provisions of the kind mentioned in section 8 (provisions of new-style memorandum) are to be treated after the commencement of this Part as provisions of the company's articles.	Provisions that were contained in a company's memorandum but are not provisions of the kind mentioned in section 8 are to be treated as provisions of the company's articles.	Yes	No	No
CA 2006 30(1)	"A copy of every resolution or agreement to which this Chapter applies, or (in the case of a resolution or agreement that is not in writing) a written memorandum setting out its terms, must be forwarded to the registrar within 15 days after it is passed or made."	A copy of every resolution or agreement to which this Chapter applies must be forwarded to the registrar within 15 days after it is passed.	Yes	No	No
CA 2006 31(2)	"Where a company amends its articles so as to add, remove or alter a statement of the company's objects - (a) it must give notice to the registrar, (b) on receipt of the notice, the registrar shall register it, and (c) the amendment is not effective until entry of that notice on the register."	Where a company amends its articles so as to alter the company's objects it must give notice to the registrar and the amendment is not effective until entry of that notice on the register.	No	No	No
CA 2006 33(1)	The provisions of a company's constitution bind the company and its members to the same extent as if there were covenants on the part of the company and of each member to observe those provisions.	The provisions of a company's constitution bind the company and its members as if there were covenants of the company and of each member to observe those provisions.	Yes	No	No
CA 2006 35(1)	"Where a company's constitution is altered by an order of a court or other authority, the company must give notice to the registrar of the alteration not later than 15 days after the alteration takes effect."	"Where a company's constitution is altered by an order of a court, the company must give notice to the registrar of the alteration."	Yes	No	No
CA 2006 35(2)	"The notice must be accompanied by— (a) a copy of the order, and (b) if the order amends— (i) the company's articles, or (ii) a resolution or agreement to which Chapter 3 applies (resolutions and agreements affecting the company's constitution), a copy of the company's articles, or the resolution or agreement in question, as amended."	"The notice must be accompanied by— (a) a copy of the order, and (b) if the order amends the company's articles, or a resolution or agreement to which Chapter 3 applies, a copy of the company's articles, or the resolution or agreement in question."	No	No	Yes
CA 2006 35(2)	"a copy of the company's articles, or the resolution or agreement in question, as amended."	"a copy of the company's articles, or the resolution or agreement in question."	Yes	Yes	No
CA 2006 37	"In the case of a company limited by guarantee and not having a share capital any provision in the company's articles, or in any resolution of the company, purporting to give a person a right to participate in the divisible profits of the company otherwise than as a member is void."	In the case of a company limited by guarantee any provision in the company's articles purporting to give a person a right to participate in the divisible profits of the company otherwise than as a member is void.	Yes	No	No
CA 2006 38	"Any enactment or rule of law applicable to companies formed by two or more persons or having two or more members applies with any necessary modification in relation to a company formed by one person or having only one person as a member.
"	"Any rule applicable to companies formed by two or more persons applies with any necessary modification in relation to a company formed by one person.
"	Yes	No	No
CA 2006 39 (1)	The validity of an act done by a company shall not be called into question on the ground of lack of capacity by reason of anything in the company's constitution.	The validity of an act done by a company shall not be called into question by reason of anything in the company's constitution.	Yes	No	No
CA 2006 40 (1)	"In favour of a person dealing with a company in good faith, the power of the directors to bind the company, or authorise others to do so, is deemed to be free of any limitation under the company's constitution."	"In favour of a person dealing with a company in good faith, the power of the directors to bind the company is deemed to be free of any limitation under the company's constitution."	Yes	No	No
CA 2006 40 (2)	"For this purpose— (a) a person “deals with” a company if he is a party to any transaction or other act to which the company is a party, (b) a person dealing with a company— (i) is not bound to enquire as to any limitation on the powers of the directors to bind the company or authorise others to do so, (ii) is presumed to have acted in good faith unless the contrary is proved, and (iii) is not to be regarded as acting in bad faith by reason only of his knowing that an act is beyond the powers of the directors under the company's constitution."	"For this purpose— (a) a person “deals with” a company if he is a party to any transaction or other act to which the company is a party, (b) a person dealing with a company— (i) is not bound to enquire as to any limitation on the powers of the directors to bind the company, (ii) is presumed to have acted in good faith, and (iii) is not to be regarded as acting in bad faith by reason only of his knowing that an act is beyond the powers of the directors under the company's constitution."	No	No	Yes
CA 2006 40 (2)	"is not bound to enquire as to any limitation on the powers of the directors to bind the company or authorise others to do so,"	is not bound to enquire as to any limitation on the powers of the directors to bind the company	Yes	Yes	No
CA 2006 40 (2)	"is presumed to have acted in good faith unless the contrary is proved,"	is presumed to have acted in good faith	Yes	Yes	No
CA 2006 41(3)	"Whether or not it is avoided, any such party to the transaction as is mentioned in subsection (2)(b)(i) or (ii), and any director of the company who authorised the transaction, is liable— (a) to account to the company for any gain he has made directly or indirectly by the transaction, and (b) to indemnify the company for any loss or damage resulting from the transaction."	"Whether or not it is avoided, any such party to the transaction mentioned in subsection (2)(b)(i) or (ii), and any director of the company who authorised the transaction, is liable— (a) to account to the company for any gain he has made by the transaction, and (b) to indemnify the company for any loss resulting from the transaction."	No	No	Yes
CA 2006 41(3)	"to account to the company for any gain he has made directly or indirectly by the transaction,"	"to account to the company for any gain he has made by the transaction,"	Yes	Yes	No
CA 2006 41(3)	to indemnify the company for any loss or damage resulting from the transaction.	to indemnify the company for any loss resulting from the transaction.	Yes	Yes	No
CA 2006 41(4)	"The transaction ceases to be voidable if— (a) restitution of any money or other asset which was the subject matter of the transaction is no longer possible, or (b) the company is indemnified for any loss or damage resulting from the transaction, or (c) rights acquired bona fide for value and without actual notice of the directors' exceeding their powers by a person who is not party to the transaction would be affected by the avoidance, or (d) the transaction is affirmed by the company."	"The transaction ceases to be voidable if— (a) restitution is no longer possible, or (b) the company is indemnified for any loss, or (c) rights acquired bona fide for value by a person who is not party to the transaction would be affected by the avoidance, or (d) the transaction is affirmed by the company."	No	No	Yes
CA 2006 41(4)	"restitution of any money or other asset which was the subject matter of the transaction is no longer possible, or"	"restitution is no longer possible, or"	Yes	Yes	No
CA 2006 41(4)	"the company is indemnified for any loss or damage resulting from the transaction, or"	the company is indemnified for any loss	Yes	Yes	No
CA 2006 41(4)	"rights acquired bona fide for value and without actual notice of the directors' exceeding their powers by a person who is not party to the transaction would be affected by the avoidance, or"	"rights acquired bona fide for value by a person who is not party to the transaction would be affected by the avoidance, or"	Yes	Yes	No
CA 2006 42(1)	"Sections 39 and 40 (company's capacity and power of directors to bind company) do not apply to the acts of a company that is a charity except in favour of a person who— (a) does not know at the time the act is done that the company is a charity, or (b) gives full consideration in money or money's worth in relation to the act in question and does not know (as the case may be)— (i) that the act is not permitted by the company's constitution, or (ii) that the act is beyond the powers of the directors."	"Sections 39 and 40 do not apply to a charity except in favour of a person who— (a) does not know that the company is a charity, or (b) gives full consideration in money or money's worth and does not know (as the case may be)— (i) that the act is not permitted by the company's constitution, or (ii) that the act is beyond the powers of the directors."	No	No	Yes
CA 2006 42(1)	Sections 39 and 40 (company's capacity and power of directors to bind company) do not apply to the acts of a company that is a charity except in favour of a person who—	Sections 39 and 40 do not apply to a charity except in favour of a person who—	No	Yes	No
CA 2006 42(1)	"does not know at the time the act is done that the company is a charity, or"	"does not know that the company is a charity, or"	Yes	Yes	No
CA 2006 42(1)	gives full consideration in money or money's worth in relation to the act in question and does not know (as the case may be)—	gives full consideration in money or money's worth and does not know (as the case may be)—	No	Yes	No
CA 2006 42(2)	"Where a company that is a charity purports to transfer or grant an interest in property, the fact that (as the case may be)— (a) the act was not permitted by the company's constitution, or (b) the directors in connection with the act exceeded any limitation on their powers under the company's constitution, does not affect the title of a person who subsequently acquires the property or any interest in it for full consideration without actual notice of any such circumstances affecting the validity of the company's act.
"	"Where a charity purports to transfer property, the fact that (as the case may be)— (a) the act was not permitted by the company's constitution, or (b) the directors in connection with the act exceeded any limitation on their powers under the company's constitution, does not affect the title of a person who subsequently acquires the property for full consideration.
"	No	No	Yes
CA 2006 42(2)	"Where a company that is a charity purports to transfer or grant an interest in property, the fact that (as the case may be)— 
"	"Where a charity purports to transfer property, the fact that (as the case may be)— 
"	No	Yes	No
CA 2006 42(2)	"does not affect the title of a person who subsequently acquires the property or any interest in it for full consideration without actual notice of any such circumstances affecting the validity of the company's act.
"	"does not affect the title of a person who subsequently acquires the property or any interest in it for full consideration.
"	Yes	Yes	No
CA 2006 43(1)	"Under the law of England and Wales or Northern Ireland a contract may be made— (a) by a company, by writing under its common seal, or (b) on behalf of a company, by a person acting under its authority, express or implied."	"Under the law of England and Wales or Northern Ireland a contract may be made— (a) by a company, by writing under its common seal, or (b) on behalf of a company, by a person acting under its authority."	No	No	Yes
CA 2006 45(4)	"An officer of a company, or a person acting on behalf of a company, commits an offence if he uses, or authorises the use of, a seal purporting to be a seal of the company on which its name is not engraved as required by subsection (2)."	An officer of a company commits an offence if he uses a seal purporting to be a seal of the company on which its name is not engraved.	Yes	No	No
CA 2006 47(1)	"Under the law of England and Wales or Northern Ireland a company may, by instrument executed as a deed, empower a person, either generally or in respect of specified matters, as its attorney to execute deeds or other documents on its behalf."	"A company may, by instrument executed as a deed, empower a person as its attorney to execute deeds or other documents on its behalf."	Yes	No	No
CA 2006 51(1)	"A contract that purports to be made by or on behalf of a company at a time when the company has not been formed has effect, subject to any agreement to the contrary, as one made with the person purporting to act for the company or as agent for it, and he is personally liable on the contract accordingly."	"A contract made by a company at a time when the company has not been formed has effect, subject to any agreement to the contrary, as one made with the person purporting to act for the company, and he is personally liable on the contract accordingly."	Yes	No	No
CA 2006 52	"A bill of exchange or promissory note is deemed to have been made, accepted or endorsed on behalf of a company if made, accepted or endorsed in the name of, or by or on behalf or on account of, the company by a person acting under its authority."	A bill of exchange or promissory note is deemed to have been made on behalf of a company if made by a person acting under its authority.	Yes	No	No
BA 2010 1(2)	"Case 1 is where— (a) P offers, promises or gives a financial or other advantage to another person, and (b) P intends the advantage— (i) to induce a person to perform improperly a relevant function or activity, or (ii) to reward a person for the improper performance of such a function or activity."	"Case 1 is where— (a) P offers a financial or other advantage to another person, and (b) P intends the advantage— (i) to induce a person to perform improperly a relevant function, or (ii) to reward a person for the improper performance of such a function."	No	No	Yes
BA 2010 1(2)	"P offers, promises or gives a financial or other advantage to another person, and"	"P offers a financial or other advantage to another person, and"	Yes	Yes	No
BA 2010 1(3)	"Case 2 is where— (a) P offers, promises or gives a financial or other advantage to another person, and (b) P knows or believes that the acceptance of the advantage would itself constitute the improper performance of a relevant function or activity."	"Case 2 is where— (a) P offers a financial or other advantage to another person, and (b) P knows or believes that the acceptance of the advantage would itself constitute the improper performance of a relevant function."	No	No	Yes
BA 2010 1(4)	"In case 1 it does not matter whether the person to whom the advantage is offered, promised or given is the same person as the person who is to perform, or has performed, the function or activity concerned."	In case 1 it does not matter whether the person to whom the advantage is offered is the same person as the person who is to perform the function concerned.	Yes	No	No
BA 2010 2(2)	"Case 3 is where R requests, agrees to receive or accepts a financial or other advantage intending that, in consequence, a relevant function or activity should be performed improperly (whether by R or another person)."	Case 3 is where R accepts a financial or other advantage intending that a relevant function or activity should be performed improperly.	Yes	No	No
BA 2010 2(3)	"Case 4 is where— (a) R requests, agrees to receive or accepts a financial or other advantage, and (b) the request, agreement or acceptance itself constitutes the improper performance by R of a relevant function or activity."	"Case 4 is where— (a) R accepts a financial or other advantage, and (b) the acceptance itself constitutes the improper performance by R of a relevant function."	No	No	Yes
BA 2010 2(3)	"R requests, agrees to receive or accepts a financial or other advantage, and"	"R accepts a financial or other advantage, and"	Yes	Yes	No
BA 2010 2(3)	"the request, agreement or acceptance itself constitutes the improper performance by R of a relevant function or activity."	the acceptance itself constitutes the improper performance by R of a relevant function.	Yes	Yes	No
BA 2010 2(4)	"Case 5 is where R requests, agrees to receive or accepts a financial or other advantage as a reward for the improper performance (whether by R or another person) of a relevant function or activity."	Case 5 is where R accepts a financial or other advantage as a reward for the improper performance of a relevant function.	Yes	No	No
BA 2010 2(5)	"Case 6 is where, in anticipation of or in consequence of R requesting, agreeing to receive or accepting a financial or other advantage, a relevant function or activity is performed improperly— (a) by R, or (b) by another person at R's request or with R's assent or acquiescence."	"Case 6 is where, in consequence of R accepting a financial or other advantage, a relevant function is performed improperly— (a) by R, or (b) by another person at R's request."	No	No	Yes
BA 2010 2(5)	"Case 6 is where, in anticipation of or in consequence of R requesting, agreeing to receive or accepting a financial or other advantage, a relevant function or activity is performed improperly—"	"Case 6 is where, in consequence of R accepting a financial or other advantage, a relevant function is performed improperly—"	Yes	Yes	No
BA 2010 2(5)	by another person at R's request or with R's assent or acquiescence.	by another person at R's request.	Yes	Yes	No
BA 2010 2(6)	"In cases 3 to 6 it does not matter— (a) whether R requests, agrees to receive or accepts (or is to request, agree to receive or accept) the advantage directly or through a third party, (b) whether the advantage is (or is to be) for the benefit of R or another person."	"In cases 3 to 6 it does not matter— (a) whether R accepts the advantage directly or through a third party, (b) whether the advantage is for the benefit of R or another person."	No	No	Yes
BA 2010 2(6)	"whether R requests, agrees to receive or accepts (or is to request, agree to receive or accept) the advantage directly or through a third party,"	"whether R accepts the advantage directly or through a third party,"	No	Yes	No
BA 2010 2(6)	whether the advantage is (or is to be) for the benefit of R or another person.	whether the advantage is for the benefit of R or another person.	Yes	Yes	No
BA 2010 2(7)	In cases 4 to 6 it does not matter whether R knows or believes that the performance of the function or activity is improper.	In cases 4 to 6 it does not matter whether R knows that the performance of the function is improper.	No	No	Yes
BA 2010 2(8)	"In case 6, where a person other than R is performing the function or activity, it also does not matter whether that person knows or believes that the performance of the function or activity is improper."	"In case 6, where a person other than R is performing the function, it also does not matter whether that person knows that the performance of the function is improper."	Yes	Yes	No
BA 2010 4(1)	"For the purposes of this Act a relevant function or activity— (a) is performed improperly if it is performed in breach of a relevant expectation, and (b) is to be treated as being performed improperly if there is a failure to perform the function or activity and that failure is itself a breach of a relevant expectation."	"A relevant function— (a) is performed improperly if it is performed in breach of a relevant expectation, and (b) is treated as being performed improperly if there is a failure to perform the function and that failure is itself a breach of a relevant expectation."	No	No	Yes
BA 2010 4(2)	"In subsection (1) “relevant expectation”— (a) in relation to a function or activity which meets condition A or B, means the expectation mentioned in the condition concerned, and (b) in relation to a function or activity which meets condition C, means any expectation as to the manner in which, or the reasons for which, the function or activity will be performed that arises from the position of trust mentioned in that condition."	"“relevant expectation”— (a) in relation to a function which meets condition A or B, means the expectation mentioned in the condition concerned, and (b) in relation to a function which meets condition C, means any expectation as to the manner in which the function will be performed that arises from the position of trust."	No	No	Yes
BA 2010 4(3)	Anything that a person does (or omits to do) arising from or in connection with that person's past performance of a relevant function or activity is to be treated for the purposes of this Act as being done (or omitted) by that person in the performance of that function or activity.	Anything that a person does arising from that person's past performance of a relevant function is to be treated as being done by that person in the performance of that function.	Yes	No	No
BA 2010 5(1)	"For the purposes of sections 3 and 4, the test of what is expected is a test of what a reasonable person in the United Kingdom would expect in relation to the performance of the type of function or activity concerned."	The test of what is expected is a test of what a reasonable person in the United Kingdom would expect in relation to the performance of the type of function concerned.	No	No	No
BA 2010 5(2)	"In deciding what such a person would expect in relation to the performance of a function or activity where the performance is not subject to the law of any part of the United Kingdom, any local custom or practice is to be disregarded unless it is permitted or required by the written law applicable to the country or territory concerned."	"In deciding what a person would expect in relation to the performance of a function where the performance is not subject to the law of the United Kingdom, any local custom or practice is to be disregarded unless it is permitted or required by the written law applicable to the country concerned."	No	No	No
BA 2010 5(3)	"In subsection (2) “written law” means law contained in— (a) any written constitution, or provision made by or under legislation, applicable to the country or territory concerned, or (b) any judicial decision which is so applicable and is evidenced in published written sources."	"“written law” means law contained in— (a) any written constitution, or provision made by legislation, applicable to the country concerned, or (b) any judicial decision which is  applicable and is evidenced in published written sources."	No	No	Yes
BA 2010 6(3)	"P bribes F if, and only if— (a) directly or through a third party, P offers, promises or gives any financial or other advantage— (i) to F, or (ii) to another person at F's request or with F's assent or acquiescence, and (b) F is neither permitted nor required by the written law applicable to F to be influenced in F's capacity as a foreign public official by the offer, promise or gift."	"P bribes F if, and only if— (a) P offers any financial or other advantage— (i) to F, or (ii) to another person at F's request, and (b) F is neither permitted nor required by the written law applicable to F to be influenced in F's capacity as a foreign public official by the offer."	No	No	Yes
BA 2010 6(3)	"directly or through a third party, P offers, promises or gives any financial or other advantage—"	"P offers, promises or gives any financial or other advantage—"	Yes	Yes	No
BA 2010 6(3)	"to another person at F's request or with F's assent or acquiescence, and"	to another person at F's request	Yes	Yes	No
BA 2010 6(5)	"“Foreign public official” means an individual who— (a) holds a legislative, administrative or judicial position of any kind, whether appointed or elected, of a country or territory outside the United Kingdom (or any subdivision of such a country or territory), (b) exercises a public function— (i) for or on behalf of a country or territory outside the United Kingdom (or any subdivision of such a country or territory), or (ii) for any public agency or public enterprise of that country or territory (or subdivision), or (c) is an official or agent of a public international organisation."	"“Foreign public official” means an individual who— (a) holds a legislative position of any kind of a country outside the United Kingdom, (b) exercises a public function— (i) for a country  outside the United Kingdom, or (ii) for any public agency of that country, or (c) is an official of a public international organisation."	No	No	Yes
BA 2010 6(5)	"holds a legislative, administrative or judicial position of any kind, whether appointed or elected, of a country or territory outside the United Kingdom (or any subdivision of such a country or territory),"	"holds a legislative position of any kind of a country outside the United Kingdom,"	No	Yes	No
BA 2010 6(5)	"for or on behalf of a country or territory outside the United Kingdom (or any subdivision of such a country or territory), or"	"for a country outside the United Kingdom, or"	No	Yes	No
BA 2010 6(5)	"for any public agency or public enterprise of that country or territory (or subdivision), or"	"for any public agency of that country, or"	Yes	Yes	No
BA 2010 6(5)	is an official or agent of a public international organisation.	is an official of a public international organisation.	Yes	Yes	No
BA 2010 6(7)	"For the purposes of subsection (3)(b), the written law applicable to F is— (a) where the performance of the functions of F which P intends to influence would be subject to the law of any part of the United Kingdom, the law of that part of the United Kingdom, (b) where paragraph (a) does not apply and F is an official or agent of a public international organisation, the applicable written rules of that organisation, (c) where paragraphs (a) and (b) do not apply, the law of the country or territory in relation to which F is a foreign public official so far as that law is contained in— (i) any written constitution, or provision made by or under legislation, applicable to the country or territory concerned, or (ii) any judicial decision which is so applicable and is evidenced in published written sources."	"The written law applicable to F is— (a) where the performance of the functions of F which P intends to influence would be subject to the law of the United Kingdom, the law of the United Kingdom, (b) where paragraph (a) does not apply and F is an official of a public international organisation, the written rules of that organisation, (c) where paragraphs (a) and (b) do not apply, the law of the country in relation to which F is a foreign public official so far as that law is contained in— (i) any written constitution, or provision made by legislation, applicable to the country, or (ii) any judicial decision which is applicable and is evidenced in published written sources."	No	No	Yes
BA 2010 6(7)	"where the performance of the functions of F which P intends to influence would be subject to the law of any part of the United Kingdom, the law of that part of the United Kingdom,"	"where the performance of the functions of F which P intends to influence would be subject to the law of the United Kingdom, the law of the United Kingdom,"	Yes	yes	No
BA 2010 6(7)	"where paragraph (a) does not apply and F is an official or agent of a public international organisation, the applicable written rules of that organisation,"	"where paragraph (a) does not apply and F is an official of a public international organisation, the written rules of that organisation,"	No	yes	No
BA 2010 6(7)	"where paragraphs (a) and (b) do not apply, the law of the country or territory in relation to which F is a foreign public official so far as that law is contained in—"	"where paragraphs (a) and (b) do not apply, the law of the country in relation to which F is a foreign public official so far as that law is contained in—"	No	yes	No
BA 2010 6(7)	"any written constitution, or provision made by or under legislation, applicable to the country or territory concerned, or"	"any written constitution, or provision made by legislation, applicable to the country, or"	Yes	yes	No
BA 2010 6(7)	any judicial decision which is so applicable and is evidenced in published written sources.	any judicial decision which is applicable and is evidenced in published written sources.	No	yes	No
BA 2010 7(1)	"A relevant commercial organisation (“C”) is guilty of an offence under this section if a person (“A”) associated with C bribes another person intending— (a) to obtain or retain business for C, or (b) to obtain or retain an advantage in the conduct of business for C."	"A commercial organisation (“C”) is guilty of an offence if a person (“A”) associated with C bribes another person intending— (a) to obtain business for C, or (b) to obtain an advantage in the conduct of business for C."	No	No	Yes
BA 2010 7(1)	"to obtain or retain business for C, or"	"to obtain business for C, or"	Yes	yes	No
BA 2010 7(1)	to obtain or retain an advantage in the conduct of business for C.	to obtain an advantage in the conduct of business for C.	Yes	yes	No
BA 2010 7(2)	But it is a defence for C to prove that C had in place adequate procedures designed to prevent persons associated with C from undertaking such conduct.	But it is a defence for C to prove that C had adequate procedures to prevent persons associated with C from undertaking such conduct.	Yes	No	No
BA 2010 8(1)	"For the purposes of section 7, a person (“A”) is associated with C if (disregarding any bribe under consideration) A is a person who performs services for or on behalf of C."	A person (“A”) is associated with C if A is a person who performs services for C.	No	No	No
BA 2010 10(5)	"The only exception is if— (a) the Director concerned is unavailable, and (b) there is another person who is designated in writing by the Director acting personally as the person who is authorised to exercise any such function when the Director is unavailable."	"The only exception is if— (a) the Director is unavailable, and (b) there is another person who is designated in writing by the Director as the person who is authorised when the Director is unavailable."	No	No	Yes
BA 2010 10(5)	"the Director concerned is unavailable, and"	"the Director is unavailable, and"	Yes	yes	No
BA 2010 10(5)	there is another person who is designated in writing by the Director acting personally as the person who is authorised to exercise any such function when the Director is unavailable.	there is another person who is designated in writing by the Director as the person who is authorised when the Director is unavailable.	Yes	yes	No
AA 2010 1(3)	"An Academy agreement is an agreement between the Secretary of State and the other party under which— (a) the other party gives the undertakings in subsection (5), and (b) the Secretary of State agrees to make payments to the other party in consideration of those undertakings."	"An Academy agreement is an agreement between the Secretary of State and the other party under which— (a) the other party gives the undertakings in subsection (5), and (b) the Secretary of State agrees to make payments to the other party."	No	No	Yes
AA 2010 1(3)	the Secretary of State agrees to make payments to the other party in consideration of those undertakings.	the Secretary of State agrees to make payments to the other party.	Yes	yes	No
AA 2010 1C(1)	"An educational institution meets the requirements of this section if— (a) it is principally concerned with providing full-time or part-time education for children of compulsory school age who, by reason of illness, exclusion from school or otherwise, may not otherwise receive suitable education for any period, (b) it provides education for children of different abilities, and (c) it provides education for children who are wholly or mainly drawn from the area in which it is situated."	"An educational institution meets the requirements of this section if— (a) it is concerned with providing education for children who, by reason of illness, exclusion from school or otherwise, may not otherwise receive suitable education, (b) it provides education for children of different abilities, and (c) it provides education for children who are drawn from the area in which it is situated."	No	No	Yes
AA 2010 1C(1)	"it is principally concerned with providing full-time or part-time education for children of compulsory school age who, by reason of illness, exclusion from school or otherwise, may not otherwise receive suitable education for any period,"	"it is concerned with providing education for children who, by reason of illness, exclusion from school or otherwise, may not otherwise receive suitable education,"	Yes	yes	No
AA 2010 1C(1)	it provides education for children who are wholly or mainly drawn from the area in which it is situated.	it provides education for children who are drawn from the area in which it is situated.	Yes	yes	No
AA 2010 2(3)	"If an Academy agreement makes provision for payments in respect of capital expenditure, the agreement may provide for the repayment to the Secretary of State, in circumstances specified in the agreement, of sums determined in accordance with the agreement."	"If an Academy agreement makes provision for payments in respect of capital expenditure, the agreement may provide for the repayment of sums determined in accordance with the agreement."	Yes	No	No
AA 2010 2A(1)	"An Academy agreement in respect of an Academy school or an alternative provision Academy must include provision allowing the Secretary of State to terminate the agreement if— (a) special measures are required to be taken in relation to the Academy, or (b) the Academy requires significant improvement."	"An Academy agreement must include provision allowing the Secretary of State to terminate if— (a) special measures are required to be taken in relation to the Academy, or (b) the Academy requires significant improvement."	No	No	Yes
AA 2010 2B(1)	"An Academy agreement in respect of an Academy school or an alternative provision Academy must include provision allowing the Secretary of State to terminate the agreement if— (a) the Academy is coasting, and (b) the Secretary of State has notified the proprietor that it is coasting."	"An Academy agreement must include provision allowing the Secretary of State to terminate  if— (a) the Academy is coasting, and (b) the Secretary of State has notified the proprietor that it is coasting."	No	No	Yes
AA 2010 2B(4)	"The Academy agreement must provide that the power to terminate the agreement on the ground that the Academy is coasting is available only if the proprietor has failed to comply with a termination warning notice (whether by failing to take specified action, or to respond, on time)."	The Academy agreement must provide that the power to terminate the agreement on the ground that the Academy is coasting is available only if the proprietor has failed to comply with a termination warning notice.	No	No	No
AA 2010 3(1)	The governing body of a maintained school in England may apply to the Secretary of State for an Academy order to be made in respect of the school.	The governing body of a maintained school may apply for an Academy order to be made in respect of the school.	No	No	No
AA 2010 3(2)	"In the case of a foundation or voluntary school that has a foundation, this is subject to subsections (3) and (4)."	"In the case of a school that has a foundation, this is subject to subsections (3) and (4)."	No	No	No
AA 2010 3(3)	The governing body of a foundation or voluntary school that has a foundation must consult the foundation before making an application under this section.	The governing body of a school that has a foundation must consult the foundation before making an application.	Yes	No	No
